"id","attributes.display_name","attributes.team_name","attributes.position","attributes.game_id","attributes.line_score","attributes.stat_type","attributes.start_time"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",0.5,"Steals","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",12.5,"Points","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",23.5,"Pts+Rebs+Asts","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",11.5,"Rebs+Asts","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",2.5,"Blks+Stls","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",1.5,"Blocked Shots","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",22.5,"Pts+Rebs","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",13.5,"Pts+Asts","2024-01-12T19:40:00-05:00"
"1596","Clint Capela","Hawks","C","2fa2202e-0221-474b-a1a4-1a47893798a0",10.5,"Rebounds","2024-01-12T19:40:00-05:00"
"79867","Jabari Smith Jr.","Rockets","F","96712a9d-bca8-4ceb-aa56-32f5e1b6a5b5",16.5,"Pts+Asts","2024-01-12T19:40:00-05:00"
"79867","Jabari Smith Jr.","Rockets","F","96712a9d-bca8-4ceb-aa56-32f5e1b6a5b5",15.5,"Points","2024-01-12T19:40:00-05:00"
"79867","Jabari Smith Jr.","Rockets","F","96712a9d-bca8-4ceb-aa56-32f5e1b6a5b5",10.5,"Rebs+Asts","2024-01-12T19:40:00-05:00"
"79867","Jabari Smith Jr.","Rockets","F","96712a9d-bca8-4ceb-aa56-32f5e1b6a5b5",24.5,"Pts+Rebs","2024-01-12T19:40:00-05:00"
"79867","Jabari Smith Jr.","Rockets","F","96712a9d-bca8-4ceb-aa56-32f5e1b6a5b5",26.5,"Pts+Rebs+Asts","2024-01-12T19:40:00-05:00"
"1386","De'Aaron Fox","Kings","G","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",31.5,"Pts+Rebs","2024-01-12T19:40:00-05:00"
"25471","Paul Reed","76ers","F","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",17.5,"Pts+Rebs","2024-01-12T19:40:00-05:00"
"25471","Paul Reed","76ers","F","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",9.5,"Points","2024-01-12T19:40:00-05:00"
"25471","Paul Reed","76ers","F","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",19.5,"Pts+Rebs+Asts","2024-01-12T19:40:00-05:00"
"25471","Paul Reed","76ers","F","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",11.5,"Pts+Asts","2024-01-12T19:40:00-05:00"
"25471","Paul Reed","76ers","F","cc4c69a5-2786-4241-ae2d-bc2afc16ee21",9.5,"Rebs+Asts","2024-01-12T19:40:00-05:00"
"87498","Aaron Nesmith","Pacers","G-F","2fa2202e-0221-474b-a1a4-1a47893798a0",16.5,"Pts+Rebs+Asts","2024-01-12T19:40:00-05:00"
"87498","Aaron Nesmith","Pacers","G-F","2fa2202e-0221-474b-a1a4-1a47893798a0",3.5,"Rebounds","2024-01-12T19:40:00-05:00"
"87498","Aaron Nesmith","Pacers","G-F","2fa2202e-0221-474b-a1a4-1a47893798a0",11.5,"Points","2024-01-12T19:40:00-05:00"
"87498","Aaron Nesmith","Pacers","G-F","2fa2202e-0221-474b-a1a4-1a47893798a0",13.5,"Pts+Asts","2024-01-12T19:40:00-05:00"
"87498","Aaron Nesmith","Pacers","G-F","2fa2202e-0221-474b-a1a4-1a47893798a0",15.5,"Pts+Rebs","2024-01-12T19:40:00-05:00"
