"game_ID","home_team","away_team","game_date"
1037593,"Denver Nuggets","Los Angeles Lakers",2023-10-24
1037594,"Golden State Warriors","Phoenix Suns",2023-10-24
1037595,"Charlotte Hornets","Atlanta Hawks",2023-10-25
1037596,"Indiana Pacers","Washington Wizards",2023-10-25
1037597,"New York Knicks","Boston Celtics",2023-10-25
1037598,"Orlando Magic","Houston Rockets",2023-10-25
1037599,"Brooklyn Nets","Cleveland Cavaliers",2023-10-25
1037600,"Miami Heat","Detroit Pistons",2023-10-25
1037601,"Toronto Raptors","Minnesota Timberwolves",2023-10-25
1037602,"Chicago Bulls","Oklahoma City Thunder",2023-10-25
1037603,"Memphis Grizzlies","New Orleans Pelicans",2023-10-25
1037604,"Utah Jazz","Sacramento Kings",2023-10-25
1037605,"San Antonio Spurs","Dallas Mavericks",2023-10-25
1037606,"LA Clippers","Portland Trail Blazers",2023-10-25
1037607,"Milwaukee Bucks","Philadelphia 76ers",2023-10-26
1037608,"Los Angeles Lakers","Phoenix Suns",2023-10-26
1037609,"Charlotte Hornets","Detroit Pistons",2023-10-27
1037610,"Memphis Grizzlies","Denver Nuggets",2023-10-27
1037611,"Atlanta Hawks","New York Knicks",2023-10-27
1037612,"Boston Celtics","Miami Heat",2023-10-27
1037613,"Cleveland Cavaliers","Oklahoma City Thunder",2023-10-27
1037614,"Chicago Bulls","Toronto Raptors",2023-10-27
1037615,"San Antonio Spurs","Houston Rockets",2023-10-27
1037616,"Dallas Mavericks","Brooklyn Nets",2023-10-27
1037617,"Utah Jazz","LA Clippers",2023-10-27
1037618,"Portland Trail Blazers","Orlando Magic",2023-10-27
1037619,"Sacramento Kings","Golden State Warriors",2023-10-27
1037620,"Detroit Pistons","Chicago Bulls",2023-10-28
1037621,"Washington Wizards","Memphis Grizzlies",2023-10-28
1037622,"New Orleans Pelicans","New York Knicks",2023-10-28
1037623,"Cleveland Cavaliers","Indiana Pacers",2023-10-28
1037624,"Toronto Raptors","Philadelphia 76ers",2023-10-28
1037625,"Minnesota Timberwolves","Miami Heat",2023-10-28
1037626,"Phoenix Suns","Utah Jazz",2023-10-28
1037627,"Oklahoma City Thunder","Denver Nuggets",2023-10-29
1037628,"Houston Rockets","Golden State Warriors",2023-10-29
1037629,"Milwaukee Bucks","Atlanta Hawks",2023-10-29
1037630,"Philadelphia 76ers","Portland Trail Blazers",2023-10-29
1037631,"LA Clippers","San Antonio Spurs",2023-10-29
1037632,"Sacramento Kings","Los Angeles Lakers",2023-10-29
1037633,"Charlotte Hornets","Brooklyn Nets",2023-10-30
1037634,"Indiana Pacers","Chicago Bulls",2023-10-30
1037635,"Washington Wizards","Boston Celtics",2023-10-30
1037636,"Atlanta Hawks","Minnesota Timberwolves",2023-10-30
1037637,"Toronto Raptors","Portland Trail Blazers",2023-10-30
1037638,"Memphis Grizzlies","Dallas Mavericks",2023-10-30
1037639,"Milwaukee Bucks","Miami Heat",2023-10-30
1037640,"New Orleans Pelicans","Golden State Warriors",2023-10-30
1037641,"Oklahoma City Thunder","Detroit Pistons",2023-10-30
