"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-11-10T00:00:17.950547","e40f6f9c37bb33d5021fa68dd65aac81",5,1160,"Cameron Payne","player_assists_over_under",2023-11-10
"2023-11-09T23:25:15.388643","e40f6f9c37bb33d5021fa68dd65aac81",6,16489,"Giannis Antetokounmpo","player_assists_over_under",2023-11-10
"2023-11-09T19:55:14.681339","e40f6f9c37bb33d5021fa68dd65aac81",11,16548,"Tyrese Haliburton","player_assists_over_under",2023-11-10
"2023-11-09T23:25:15.388702","e40f6f9c37bb33d5021fa68dd65aac81",37.5,16489,"Giannis Antetokounmpo","player_assists_points_over_under",2023-11-10
"2023-11-09T23:35:14.385295","e40f6f9c37bb33d5021fa68dd65aac81",14.5,16510,"Brook Lopez","player_assists_points_over_under",2023-11-10
"2023-11-09T19:40:14.019869","e40f6f9c37bb33d5021fa68dd65aac81",33,16548,"Tyrese Haliburton","player_assists_points_over_under",2023-11-10
"2023-11-09T16:15:14.291995","e40f6f9c37bb33d5021fa68dd65aac81",15.5,16549,"Bennedict Mathurin","player_assists_points_over_under",2023-11-10
"2023-11-09T23:25:15.389242","e40f6f9c37bb33d5021fa68dd65aac81",18.5,16818,"Khris Middleton","player_assists_points_over_under",2023-11-10
"2023-11-09T18:50:15.546715","e40f6f9c37bb33d5021fa68dd65aac81",15.5,17118,"Buddy Hield","player_assists_points_over_under",2023-11-10
"2023-11-09T23:15:15.960423","e40f6f9c37bb33d5021fa68dd65aac81",11,17200,"Andrew Nembhard","player_assists_points_over_under",2023-11-10
"2023-11-09T18:50:15.546549","e40f6f9c37bb33d5021fa68dd65aac81",10.5,17488,"Jalen Smith","player_assists_points_over_under",2023-11-10
"2023-11-09T23:55:16.177396","e40f6f9c37bb33d5021fa68dd65aac81",19.5,1160,"Cameron Payne","player_assists_points_rebounds_over_under",2023-11-10
"2023-11-09T23:25:15.388815","e40f6f9c37bb33d5021fa68dd65aac81",49.5,16489,"Giannis Antetokounmpo","player_assists_points_rebounds_over_under",2023-11-10
