Player_ID,Name,Position,Team,Opponent,Line_Score,Stat_Type,Game_ID,Start_Time
1683,Brook Lopez,C,MIL,BOS,18.5,Pts+Rebs,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1683,Brook Lopez,C,MIL,BOS,14.0,Pts+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1683,Brook Lopez,C,MIL,BOS,19.5,Pts+Rebs+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1683,Brook Lopez,C,MIL,BOS,5.0,Rebounds,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1683,Brook Lopez,C,MIL,BOS,12.5,Points,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,8.5,Rebounds,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
173850,Damian Lillard,G,MIL,BOS,6.5,Assists,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
173850,Damian Lillard,G,MIL,BOS,28.5,Pts+Rebs,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
173850,Damian Lillard,G,MIL,BOS,11.0,Rebs+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
173850,Damian Lillard,G,MIL,BOS,31.0,Pts+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
173850,Damian Lillard,G,MIL,BOS,4.0,Rebounds,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
173850,Damian Lillard,G,MIL,BOS,24.5,Points,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,27.5,Points,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,41.5,Pts+Rebs+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,4.5,Assists,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
173850,Damian Lillard,G,MIL,BOS,35.5,Pts+Rebs+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:40:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,32.5,Pts+Asts,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
1266,Jayson Tatum,F-G,BOS,MIL,36.5,Pts+Rebs,dd3e85eb-86e0-4c11-a2cc-b5a2f4e58975,2024-01-11T19:30:00-05:00
