Player_ID,Name,Position,Team,Opponent,Line_Score_existing,Stat_Type,Game_ID,Start_Time
125266,Julian Champagnie,F,SAS,CHA,7.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,16.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,19,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
125266,Julian Champagnie,F,SAS,CHA,10.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,22.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,24.5,Pts+Rebs+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,5.5,Rebounds,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
55140,Keldon Johnson,G-F,SAS,CHA,8,Rebs+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:00:00.000-05:00
1727,Jonathan Isaac,F,ORL,PHI,0.5,Blocked Shots,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,12.5,Points,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,14.5,Pts+Asts,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,15.5,Pts+Rebs,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,18.5,Pts+Rebs+Asts,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,3.5,Rebounds,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
1727,Jonathan Isaac,F,ORL,PHI,3.5,Rebounds,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
177073,Patrick Beverley,G,PHI,ORL,0.5,Steals,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
175123,Joe Ingles,F-G,ORL,PHI,0.5,Steals,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
1727,Jonathan Isaac,F,ORL,PHI,0.5,Steals,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25433,Cole Anthony,G,ORL,PHI,1.5,Turnovers,fda076fd-6829-448c-8dec-d18e2624d797,2024-01-19T19:00:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,10,3-PT Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,7,3-PT Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,9,3-PT Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,2.5,3-PT Made,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,3.5,3-PT Made,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
87612,Jeremy Sochan,F,SAS,CHA,4,Assists,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
59501,Tre Jones,G,SAS,CHA,7,Assists,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,8,Assists,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,5.5,Assists,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,1.5,Blks+Stls,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,1.5,Blks+Stls,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,1.5,Blks+Stls,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,0.5,Blocked Shots,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25458,Nick Richards,C,CHA,SAS,7,Defensive Rebounds,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
87612,Jeremy Sochan,F,SAS,CHA,28.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
125266,Julian Champagnie,F,SAS,CHA,14.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
59501,Tre Jones,G,SAS,CHA,29.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
174280,Brandon Miller,F-G,CHA,SAS,22.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,48.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,37,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25458,Nick Richards,C,CHA,SAS,28.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,39.5,Fantasy Score,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,20,FG Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,17.5,FG Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,19,FG Attempted,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,3.5,Free Throws Made,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,2.5,Free Throws Made,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,3.5,Free Throws Made,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,32,Minutes Played,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,34,Minutes Played,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25458,Nick Richards,C,CHA,SAS,3.5,Offensive Rebounds,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,20,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
87612,Jeremy Sochan,F,SAS,CHA,13.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
79868,Malaki Branham,G,SAS,CHA,7.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
59501,Tre Jones,G,SAS,CHA,12.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
63247,Zach Collins,F-C,SAS,CHA,14,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
174280,Brandon Miller,F-G,CHA,SAS,13.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
10730,Cody Martin,G-F,CHA,SAS,6.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,26,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,21.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25458,Nick Richards,C,CHA,SAS,10,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
54078,P.J. Washington,F,CHA,SAS,13.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,22.5,Points,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,23.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
87612,Jeremy Sochan,F,SAS,CHA,17.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
59501,Tre Jones,G,SAS,CHA,20.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
63247,Zach Collins,F-C,SAS,CHA,16,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,33.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1540,Miles Bridges,F,CHA,SAS,24.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25458,Nick Richards,C,CHA,SAS,10.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
54078,P.J. Washington,F,CHA,SAS,15.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
1955,Terry Rozier,G,CHA,SAS,28.5,Pts+Asts,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
56347,Devin Vassell,G,SAS,CHA,24.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
87612,Jeremy Sochan,F,SAS,CHA,20.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
59501,Tre Jones,G,SAS,CHA,17,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
10730,Cody Martin,G-F,CHA,SAS,10.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
25421,LaMelo Ball,G,CHA,SAS,33.5,Pts+Rebs,f4d8330f-b157-43bd-b2a3-42cd926e20e2,2024-01-19T19:10:00.000-05:00
